Team,Predicted_Week_14_Score
AlexFrame59,135.185384615385
Clayboski,151.446153846154
Drewski98,103.895384615385
Hege,120.7
MattiICE23,146.996153846154
ShepC130,118.588461538462
TheHumanEgg,147.776153846154
Willythicc,136.386153846154
andrewi5,125.257692307692
bheck80,123.623076923077
garrettrsimpson,135.321538461538
jwoods329,114.856153846154
