player_id,full_name,age,height,years_exp,team,position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11565,J.J. McCarthy,21.0,75,0.0,MIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11566,Jayden Daniels,23.0,76,0.0,WAS,QB,28.16,13.44,28.06,25.02,20.72,20.96,5.24,22.24,19.86,8.58,14.44,32.4,0.0,0.0,0.0,0.0,0.0
11567,Jordan Travis,24.0,73,0.0,NYJ,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11573,Frank Gore,22.0,68,0.0,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11574,Dylan Laube,24.0,70,0.0,LV,RB,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11575,Ray Davis,25.0,68,0.0,BUF,RB,3.2,3.3,8.8,1.1,0.9,16.7,11.2,2.9,16.0,0.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0
11576,Braelon Allen,20.0,73,0.0,NYJ,RB,2.2,18.6,8.3,5.1,3.3,0.8,1.1,9.2,0.9,3.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0
11577,Will Shipley,22.0,71,0.0,PHI,RB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
11579,Audric Estime,21.0,71,0.0,DEN,RB,1.4,0.0,0.0,0.0,0.0,1.3,0.9,0.4,3.5,5.3,4.0,1.5,0.0,0.0,0.0,0.0,0.0
11581,MarShawn Lloyd,23.0,69,0.0,GB,RB,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11582,Carson Steele,22.0,72,0.0,KC,RB,,,7.9,-0.9,1.2,0.0,1.7,1.9,,,,1.8,0.0,0.0,0.0,0.0,0.0
11583,Jonathon Brooks,21.0,72,0.0,CAR,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
11584,Bucky Irving,22.0,70,0.0,TB,RB,8.6,2.2,9.9,12.0,4.6,17.5,15.2,11.9,4.9,16.2,0.0,24.2,0.0,0.0,0.0,0.0,0.0
11586,Blake Corum,24.0,68,0.0,LAR,RB,0.0,2.8,0.0,0.0,3.8,0.0,1.1,2.3,-0.1,2.0,3.3,0.5,0.0,0.0,0.0,0.0,0.0
